Move,From_Sqaure,Target_Sqaure,Piece_Moved,Piece_Captured,Is_Check,Top_10_Moves,Is_Capture
b4d3,b4,d3,n,,0,"['b4c6', 'g7g6', 'b4d3', 'a8c8', 'e6c6', 'a6a5', 'b4c2', 'e6b6', 'e6f6', 'b7b5']",1
g7g6,g7,g6,p,,0,"['e6d6', 'e6b6', 'a8d8', 'g8f8', 'g7g6', 'a8f8', 'h7h6', 'e6c6', 'b7b6', 'b7b5']",1
f7f5,f7,f5,p,,0,"['f7f5', 'a8d8', 'h7h6', 'b7b5', 'a8f8', 'e6c6', 'h7h5', 'f7f6', 'a8e8', 'a6a5']",1
f5f4,f5,f4,p,,0,"['f5f4', 'e6c6', 'a8d8', 'e6e5', 'a8e8', 'h7h5', 'h7h6', 'a8f8', 'e6f6', 'a6a5']",1
e4e3,e4,e3,p,,0,"['e4e3', 'g6g5', 'f4f3', 'd3c1', 'a8d8', 'a8f8', 'a8e8', 'b7b5', 'a6a5', 'e6d6']",1
d3f4,d3,f4,n,N,0,"['d3f4', 'e3e2', 'e6c6', 'e6d6', 'd3c1', 'a8e8', 'e6f6', 'e6b6', 'e6e5', 'e6e4']",1
e3e2,e3,e2,p,,0,"['a8b8', 'a8e8', 'a8d8', 'e3e2', 'a8f8', 'g6g5', 'b7b6', 'e6e5', 'e6e8', 'a6a5']",1
a8d8,a8,d8,r,,0,"['e6e3', 'a8e8', 'e2e1q', 'e2e1r', 'e2e1b', 'g6g5', 'e2e1n', 'e6d6', 'a8d8', 'e6e8']",1
d8d1,d8,d1,r,,0,"['e6c6', 'h7h5', 'b7b5', 'g6g5', 'h7h6', 'b7b6', 'd8e8', 'a6a5', 'd8d1', 'd8f8']",1
c7c6,c7,c6,p,,0,"['c7c5', 'd7d5', 'g8f6', 'g7g6', 'd7d6', 'e7e6', 'b8c6', 'f7f5', 'b7b6', 'c7c6']",1
d7d5,d7,d5,p,,0,"['d7d5', 'g8f6', 'e7e6', 'a7a6', 'd7d6', 'd8a5', 'h7h6', 'f7f5', 'g7g6', 'b7b5']",1
g8f6,g8,f6,n,,0,"['g8f6', 'e7e6', 'd5c4', 'h7h6', 'a7a6', 'c8f5', 'c8e6', 'g7g6', 'b8d7', 'd8b6']",1
c8g4,c8,g4,b,,0,"['c8f5', 'e7e6', 'g7g6', 'c8e6', 'a7a6', 'h7h6', 'b8d7', 'b7b6', 'f6e4', 'c8g4']",1
e7e6,e7,e6,p,,0,"['g4f3', 'b8d7', 'd5c4', 'e7e6', 'g4f5', 'g4h5', 'g7g6', 'd8b6', 'f6e4', 'd8a5']",1
g4h5,g4,h5,b,,0,"['g4f3', 'g4h5', 'g4f5', 'f8d6', 'g7g5', 'e6e5', 'd8b6', 'f6h5', 'd5c4', 'b8d7']",1
h5g6,h5,g6,b,,0,"['h5g6', 'd8b6', 'g7g5', 'f8b4', 'd5c4', 'b8d7', 'f6g4', 'b7b5', 'd8a5', 'c6c5']",1
b8d7,b8,d7,n,,0,"['b8d7', 'f6d7', 'd5c4', 'd8b6', 'f8b4', 'b8a6', 'f8d6', 'f6e4', 'c6c5', 'a7a5']",1
c6d5,c6,d5,p,P,0,"['d7e5', 'e6d5', 'f6d5', 'c6d5', 'g6e4', 'f8b4', 'a8c8', 'd8b6', 'f8d6', 'd8a5']",1
h7g6,h7,g6,p,N,0,"['h7g6', 'f7g6', 'd8b6', 'f8a3', 'a8c8', 'f8b4', 'f8e7', 'a7a6', 'f6g8', 'f6h5']",1
d7b6,d7,b6,n,,0,"['d8b6', 'f6e4', 'a7a6', 'a7a5', 'f8b4', 'f6g8', 'g6g5', 'b7b5', 'b7b6', 'f8e7']",1
f6d7,f6,d7,n,,0,"['f6d7', 'b6d7', 'e8e7', 'd8d7']",1
a7a6,a7,a6,p,,0,"['f8e7', 'g6g5', 'a8c8', 'a7a6', 'b6c8', 'd8e7', 'h8h4', 'a7a5', 'f7f6', 'd8h4']",1
f8e7,f8,e7,b,,0,"['g6g5', 'a8c8', 'f8e7', 'd7b8', 'd7f6', 'd8f6', 'h8h4', 'e6e5', 'b6c8', 'd8h4']",1
e8g8,e8,g8,k,,0,"['a8c8', 'e8g8', 'g6g5', 'd7b8', 'f7f5', 'e7g5', 'e7f8', 'd7f8', 'h8h4', 'e6e5']",1
e7h4,e7,h4,b,P,0,"['e7h4', 'a8c8', 'e6e5', 'd7f6', 'e7f6', 'b6c4', 'g6g5', 'b6c8', 'a6a5', 'e7c5']",1
a8c8,a8,c8,r,,0,"['d8f6', 'h4e7', 'd8e7', 'h4f6', 'h4g5', 'a8c8', 'g6g5', 'f8e8', 'e6e5', 'b6c4']",1
g6g5,g6,g5,p,,0,"['g6g5', 'b6c4', 'f8e8', 'f7f5', 'd8e7', 'e6e5', 'c8c6', 'd8f6', 'h4g5', 'a6a5']",1
f8e8,f8,e8,r,,0,"['f8e8', 'd8e8', 'd8f6', 'b6c4', 'g7g6', 'd7f6', 'c8a8', 'c8c6', 'f7f5', 'a6a5']",1
b6c4,b6,c4,n,,0,"['b6c4', 'h4g3', 'd7f8', 'c8c6', 'g7g6', 'e6e5', 'd7f6', 'e8f8', 'f7f6', 'd7b8']",1
e6e5,e6,e5,p,,0,"['d7b6', 'c4a5', 'g7g6', 'd7f8', 'b7b6', 'b7b5', 'g8f8', 'c8c7', 'd8b6', 'd7f6']",1
e5d4,e5,d4,p,P,0,"['c4a5', 'b7b5', 'c4b6', 'c4d6', 'e5d4', 'c4e3', 'd7f6', 'd8a5', 'd7f8', 'd7b6']",1
c4e3,c4,e3,n,P,0,"['d7e5', 'd7c5', 'g5h4', 'c4d2', 'd4e3', 'd7f6', 'c4a5', 'c4e3', 'c8c5', 'c4d6']",1
d7e5,d7,e5,n,,0,"['d7c5', 'd4e3', 'd7e5', 'c8c1', 'g5h4', 'e8e3', 'c8c6', 'f7f6', 'd7b6', 'c8c7']",1
e5g4,e5,g4,n,P,0,"['d8d7', 'e5d3', 'e5d7', 'c8c1', 'b7b6', 'g5h4', 'f7f5', 'c8c4', 'e8e6', 'g7g6']",1
f7f6,f7,f6,p,,0,"['g4h6', 'g7g6', 'g4h2', 'e8e4', 'c8c2', 'f7f5', 'f7f6', 'd8g5', 'd8d6', 'g4f2']",1
g8f7,g8,f7,k,,0,['g8f7'],1
f7e7,f7,e7,k,,0,"['c8c4', 'd8d5', 'f7e7', 'e8e6']",1
d7d5,d7,d5,p,,0,"['d7d5', 'a7a6', 'c7c5', 'g7g6', 'g8f6', 'd7d6', 'b8c6', 'e7e6', 'c7c6', 'b7b6']",1
g8f6,g8,f6,n,,0,"['c7c5', 'c7c6', 'g8f6', 'a7a5', 'c8g4', 'h7h6', 'e7e6', 'c8f5', 'a7a6', 'b7b5']",1
c7c5,c7,c5,p,,0,"['c7c5', 'b7b5', 'c8f5', 'f6d7', 'e7e6', 'c7c6', 'd8d6', 'c8e6', 'h7h5', 'c8g4']",1
b8c6,b8,c6,n,,0,"['d5d4', 'b8c6', 'd5c4', 'g7g6', 'e7e6', 'c8e6', 'h7h6', 'a7a6', 'd8d6', 'c8g4']",1
d5d4,d5,d4,p,,0,"['d5c4', 'e7e5', 'e7e6', 'c8e6', 'd5d4', 'h7h6', 'g7g6', 'c8g4', 'h7h5', 'c8f5']",1
e7e5,e7,e5,p,,0,"['e7e5', 'e7e6', 'g7g6', 'f6g4', 'a7a5', 'f6d7', 'a8b8', 'd8c7', 'c8g4', 'h7h6']",1
f8d6,f8,d6,b,,0,"['a7a5', 'h7h6', 'f8e7', 'f8d6', 'c8g4', 'c8d7', 'a7a6', 'c8f5', 'f6g4', 'h7h5']",1
