Move,From_Sqaure,Target_Sqaure,Piece_Moved,Piece_Captured,Is_Check,FEN,Top_10_Moves
c8b7,c8,b7,b,,False,r1b5/p4r2/1kp1p3/4Q3/1P1P4/3B4/P5PP/6K1 b - - 0 28,"['c8d7', 'b6b7', 'a7a6', 'a7a5', 'f7d7', 'f7c7', 'f7f5', 'f7g7', 'f7f1', 'a8b8']"
c7c6,c7,c6,p,,False,rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,"['c7c5', 'd7d5', 'g8f6', 'g7g6', 'd7d6', 'e7e6', 'b8c6', 'f7f5', 'b7b6', 'c7c6']"
d7d5,d7,d5,p,,False,rnbqkbnr/pp1ppppp/2p5/8/3P4/5N2/PPP1PPPP/RNBQKB1R b KQkq - 1 2,"['g8f6', 'd7d6', 'e7e6', 'd7d5', 'c6c5', 'a7a6', 'd8c7', 'a7a5', 'b8a6', 'd8a5']"
g8f6,g8,f6,n,,False,rnbqkbnr/pp2pppp/2p5/3p4/2PP4/5N2/PP2PPPP/RNBQKB1R b KQkq - 0 3,"['e7e6', 'g8f6', 'a7a6', 'h7h6', 'c8d7', 'd8c7', 'd8d6', 'g7g6', 'b8d7', 'a7a5']"
c8g4,c8,g4,b,,False,rnbqkb1r/pp2pppp/2p2n2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq - 2 4,"['c8f5', 'e7e6', 'g7g6', 'c8e6', 'a7a6', 'b8d7', 'b7b6', 'f6e4', 'c8g4', 'd8a5']"
e7e6,e7,e6,p,,False,rn1qkb1r/pp2pppp/2p2n2/3p4/2PP1Bb1/2N2N2/PP2PPPP/R2QKB1R b KQkq - 4 5,"['g4f3', 'b8d7', 'd5c4', 'g7g6', 'g4h5', 'e7e6', 'd8b6', 'g4f5', 'g4e6', 'a7a6']"
f8d6,f8,d6,b,,False,rn1qkb1r/pp3ppp/2p1pn2/3p4/2PP1Bb1/2N1PN2/PP3PPP/R2QKB1R b KQkq - 0 6,"['d8b6', 'g4f3', 'b8d7', 'f8d6', 'f6h5', 'd5c4', 'f8b4', 'b8a6', 'a7a6', 'f8e7']"
d8d6,d8,d6,q,B,False,rn1qk2r/pp3ppp/2pBpn2/3p4/2PP2b1/2N1PN2/PP3PPP/R2QKB1R b KQkq - 0 7,"['d8d6', 'g4f3', 'f6e4', 'd8a5', 'b8d7', 'b7b5', 'g4h5', 'h7h5', 'd5c4', 'b8a6']"
b8d7,b8,d7,n,,False,rn2k2r/pp3ppp/2pqpn2/3p4/2PP2b1/2N1PN2/PP2BPPP/R2QK2R b KQkq - 1 8,"['g4f3', 'g4f5', 'd5c4', 'e8g8', 'd6b4', 'd6c7', 'b8d7', 'd6e7', 'a7a6', 'h7h6']"
g4h5,g4,h5,b,,False,r3k2r/pp1n1ppp/2pqpn2/3p4/2PP2b1/2N1PN1P/PP2BPP1/R2QK2R b KQkq - 0 9,"['g4f3', 'g4h5', 'g4f5', 'g4h3', 'd5c4', 'a7a6', 'g7g6', 'd7b6', 'h7h5', 'd6e7']"
