Move,From_Sqaure,Target_Sqaure,Piece_Moved,Piece_Captured,Is_Check,FEN,Top_10_Moves
c3e4,c3,e4,N,p,False,rnbqkbnr/ppp2ppp/4p3/8/3Pp3/2N5/PPP2PPP/R1BQKBNR w KQkq - 0 4,"['c3e4', 'a2a3', 'f2f3', 'f1b5', 'f1c4', 'c1f4', 'c1e3', 'g1e2', 'h2h3', 'd1e2']"
e4g3,e4,g3,N,,False,rnbqkb1r/ppp2ppp/4pn2/8/3PN3/8/PPP2PPP/R1BQKBNR w KQkq - 1 5,"['c1g5', 'e4f6', 'f1d3', 'd1d3', 'f1b5', 'e4c5', 'd1f3', 'e4c3', 'e4d2', 'f2f3']"
g1f3,g1,f3,N,,False,rnbqk2r/ppp1bppp/4pn2/8/3P4/6N1/PPP2PPP/R1BQKBNR w KQkq - 3 6,"['g1f3', 'c2c3', 'c1f4', 'f1d3', 'a2a4', 'f1c4', 'f1e2', 'c1e3', 'a2a3', 'h2h3']"
f1d3,f1,d3,B,,False,rnbq1rk1/ppp1bppp/4pn2/8/3P4/5NN1/PPP2PPP/R1BQKB1R w KQ - 5 7,"['f1d3', 'f1e2', 'c1g5', 'c1d2', 'c1e3', 'c2c3', 'c1f4', 'f1c4', 'a2a4', 'h2h3']"
e1g1,e1,g1,K,,False,r1bq1rk1/pppnbppp/4pn2/8/3P4/3B1NN1/PPP2PPP/R1BQK2R w KQ - 7 8,"['d1e2', 'a2a3', 'c1e3', 'b2b3', 'h2h3', 'e1g1', 'c2c3', 'c1g5', 'c1d2', 'd1d2']"
c2c3,c2,c3,P,,False,r1bq1rk1/p1pnbppp/1p2pn2/8/3P4/3B1NN1/PPP2PPP/R1BQ1RK1 w - - 0 9,"['c2c4', 'f3e5', 'f1e1', 'c1f4', 'd1e2', 'c2c3', 'f3g5', 'b2b3', 'c1g5', 'h2h3']"
c1g5,c1,g5,B,,False,r2q1rk1/pbpnbppp/1p2pn2/8/3P4/2PB1NN1/PP3PPP/R1BQ1RK1 w - - 1 10,"['f1e1', 'f3g5', 'd1e2', 'd3c2', 'd3b1', 'c1f4', 'h2h4', 'a2a3', 'h2h3', 'f3e5']"
g5e7,g5,e7,B,b,False,r2qnrk1/pbpnbppp/1p2p3/6B1/3P4/2PB1NN1/PP3PPP/R2Q1RK1 w - - 3 11,"['g5e7', 'h2h4', 'g5e3', 'g5d2', 'g5f4', 'g5c1', 'g3e4', 'd3e4', 'd1c1', 'd1d2']"
d1c2,d1,c2,Q,,False,r3nrk1/pbpnqppp/1p2p3/8/3P4/2PB1NN1/PP3PPP/R2Q1RK1 w - - 0 12,"['d3h7', 'd1c2', 'd1e2', 'h2h3', 'h2h4', 'f1e1', 'b2b3', 'f3e5', 'd3c2', 'd3b1']"
f3d2,f3,d2,N,,False,r3nrk1/pbpnqp1p/1p2p1p1/8/3P4/2PB1NN1/PPQ2PPP/R4RK1 w - - 0 13,"['d3e4', 'f3e5', 'g3e4', 'c2e2', 'c2d1', 'f1e1', 'd3e2', 'f3d2', 'a1d1', 'a2a4']"
a1e1,a1,e1,R,,False,r3nrk1/pbpnq2p/1p2p1p1/5p2/3P4/2PB2N1/PPQN1PPP/R4RK1 w - - 0 14,"['a1e1', 'd3c4', 'b2b4', 'd3b5', 'f1e1', 'c2b3', 'd3e2', 'g3e2', 'c2d1', 'a1d1']"
d3c4,d3,c4,B,,False,r4rk1/pbpnq1np/1p2p1p1/5p2/3P4/2PB2N1/PPQN1PPP/4RRK1 w - - 2 15,"['g3e2', 'd3b5', 'd3e2', 'a2a3', 'c2c1', 'd3c4', 'd2b3', 'b2b4', 'c2b3', 'd2c4']"
e1e2,e1,e2,R,,False,r4r1k/pbpnq1np/1p2p1p1/5p2/2BP4/2P3N1/PPQN1PPP/4RRK1 w - - 4 16,"['f2f4', 'g3e2', 'a2a4', 'f2f3', 'b2b4', 'd2b3', 'h2h3', 'c4b5', 'b2b3', 'c2d1']"
f1e1,f1,e1,R,,False,4rr1k/pbpnq1np/1p2p1p1/5p2/2BP4/2P3N1/PPQNRPPP/5RK1 w - - 6 17,"['f2f4', 'f1e1', 'c4b5', 'b2b4', 'f2f3', 'a2a3', 'f1d1', 'f1a1', 'a2a4', 'd2b3']"
c4e6,c4,e6,B,p,False,4rr1k/pb1nq1np/1p2p1p1/2p2p2/2BP4/2P3N1/PPQNRPPP/4R1K1 w - - 0 18,"['c4e6', 'c4b5', 'c2b3', 'c2d3', 'a2a4', 'a2a3', 'c2d1', 'c2a4', 'b2b3', 'g3f1']"
e2e6,e2,e6,R,n,False,4rr1k/pb1nq2p/1p2n1p1/2p2p2/3P4/2P3N1/PPQNRPPP/4R1K1 w - - 0 19,"['e2e6', 'd4d5', 'c2b3', 'd2f3', 'c3c4', 'h2h3', 'g3f5', 'c2d1', 'd2c4', 'b2b3']"
